job_title,experience_years,education_level,skills_count,industry,company_size,location,salary
Software Engineer,1,High School,19,Telecom,Enterprise,Germany,103455
DevOps Engineer,6,Bachelor,11,Technology,Enterprise,Netherlands,131782
Frontend Developer,1,Bachelor,8,Technology,Medium,UK,84082
Data Analyst,8,High School,5,Technology,Small,USA,95011
Software Engineer,10,Bachelor,20,Finance,Large,USA,239911
Data Scientist,4,Master,9,Technology,Medium,UK,194326
Software Engineer,14,Bachelor,15,Consulting,Large,USA,325531
Cloud Engineer,11,Bachelor,14,Technology,Medium,Remote,170278
DevOps Engineer,6,High School,4,Technology,Large,Remote,105820
AI Engineer,4,Master,8,Consulting,Enterprise,India,75012
Data Analyst,9,High School,20,Healthcare,Large,Germany,86225
Data Analyst,14,Bachelor,17,Technology,Large,Germany,130686
Machine Learning Engineer,6,Bachelor,2,Technology,Large,Canada,249310
Data Scientist,3,Bachelor,20,Technology,Large,USA,163349
Software Engineer,8,High School,16,Technology,Medium,Netherlands,115401
Software Engineer,5,Bachelor,10,Retail,Medium,India,36613
Machine Learning Engineer,2,Bachelor,2,Education,Small,USA,162548
Software Engineer,3,High School,11,Manufacturing,Medium,USA,132459
Data Scientist,10,Bachelor,10,Technology,Enterprise,USA,262931
Data Scientist,4,Bachelor,19,Finance,Medium,Remote,213130
Software Engineer,3,Bachelor,14,Technology,Medium,USA,201834
Machine Learning Engineer,12,Diploma,11,Technology,Large,UK,235919
Data Analyst,10,Bachelor,9,Consulting,Medium,Canada,159469
Software Engineer,3,Bachelor,7,Media,Small,USA,158180
Software Engineer,16,Master,15,Technology,Medium,Australia,229926
Business Analyst,4,Master,20,Telecom,Large,India,40268
Data Scientist,6,Bachelor,17,Consulting,Large,USA,203148
Software Engineer,5,PhD,3,Government,Medium,USA,146191
Data Analyst,2,Bachelor,15,Technology,Large,USA,104697
Cloud Engineer,4,Bachelor,14,Technology,Medium,India,59308
Data Scientist,4,Diploma,8,Government,Enterprise,Australia,182291
Data Analyst,0,Bachelor,4,Media,Startup,UK,71773
Cybersecurity Analyst,6,Master,10,Finance,Small,Germany,166139
Backend Developer,9,Bachelor,2,Finance,Large,USA,185660
Product Manager,1,Bachelor,14,Retail,Large,India,53113
Product Manager,8,Bachelor,8,Technology,Small,Remote,170071
Data Analyst,10,Master,10,Manufacturing,Medium,UK,159784
Business Analyst,4,Bachelor,18,Technology,Large,UK,110279
Business Analyst,16,PhD,15,Technology,Large,India,55003
Backend Developer,6,Diploma,5,Technology,Large,Sweden,118252
Frontend Developer,0,High School,13,Technology,Enterprise,USA,101919
Frontend Developer,1,Master,18,Retail,Large,India,41828
DevOps Engineer,6,Bachelor,2,Manufacturing,Large,Canada,144844
Data Analyst,8,Bachelor,13,Education,Large,USA,150655
AI Engineer,5,Bachelor,14,Education,Large,Remote,253752
DevOps Engineer,6,PhD,10,Consulting,Large,USA,249707
Cybersecurity Analyst,5,Master,4,Technology,Large,USA,249460
Software Engineer,2,Bachelor,15,Education,Medium,Germany,119987
Software Engineer,5,Bachelor,8,Media,Small,India,51203
DevOps Engineer,1,Diploma,15,Technology,Large,USA,157219
Software Engineer,3,Bachelor,14,Manufacturing,Large,Canada,142362
